Codigo,Nome,Professor,Dia,Horario
ADM1019,INTRODUCAO A FINANCAS,RICARDO NOLLA RUIZ,TER-QUI,13-15
INF1009,LOGICA PARA COMPUTACAO,CECILIA REIS ENGLANDER LUSTOSA,TER-QUI,13-15
INF1009,LOGICA PARA COMPUTACAO,CECILIA REIS ENGLANDER LUSTOSA,SEG-QUA,13-15
INF1009,LOGICA PARA COMPUTACAO,BERNARDO PINTO DE ALKMIM,TER-QUI,11-13
INF1009,LOGICA PARA COMPUTACAO,BERNARDO PINTO DE ALKMIM,TER-QUI,13-15
INF1010,ESTRUTURAS DE DADOS AVANCADAS,LUIZ FERNANDO BESSA SEIBEL,SEG-QUA,09-11
INF1010,ESTRUTURAS DE DADOS AVANCADAS,LUIZ FERNANDO BESSA SEIBEL,TER-QUI,11-13
INF1011,SEMANTICA DE LINGUAGENS,ROBERTO IERUSALIMSCHY,TER-QUI,13-15
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,QUA,15-17
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,QUI,13-15
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,SEX,07-09
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,QUA,15-17
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,QUI,13-15
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,SEX,07-09
INF1014,SEMINARIOS,AUGUSTO CESAR ESPINDOLA BAFFA,QUI,18-19
INF1015,COMPUTABILIDADE,EDWARD HERMANN HAEUSLER,TER-QUI,13-15
INF1018,SOFTWARE BASICO,RAUL PIERRE RENTERIA,TER-QUI,09-11
INF1018,SOFTWARE BASICO,ALEXANDRE MALHEIROS MESLIN,TER-QUI,11-13
INF1018,SOFTWARE BASICO,ALEXANDRE MALHEIROS MESLIN,TER-QUI,07-09
INF1022,ANALIS LEXICOS E SINTATICOS,VITOR PINHEIRO DE ALMEIDA,SEG-QUA,11-13
INF1022,ANALIS LEXICOS E SINTATICOS,EDWARD HERMANN HAEUSLER,SEG-QUA,09-11
INF1027,TESTE E MEDICAO DE SOFTWARE,ANDREW DINIZ DA COSTA,SEG-QUA,09-11
INF1028,PROJETO E CONSTRUCAO SISTEMAS,JULIANA ARRIEL,SEG-QUA,15-17
INF1029,INT ARQUITETURA COMPUTADORES,ANDERSON OLIVEIRA DA SILVA,TER-QUI,13-15
INF1032,INTRODUCAO A CIENCIA DOS DADOS,HELIO CORTES VIEIRA LOPES,SEG-QUA,07-09
INF1034,PRATICAS DE PROGRAMACAO,ADRIANO FRANCISCO BRANCO,SEG-QUA,11-13
INF1036,PROBABILIDADE COMPUTACIONAL,MARCIO LUIZ RAMOS DOS SANTOS,TER-QUI,09-11
INF1038,APRENDIZADO AUTOMATICO,AUGUSTO CESAR ESPINDOLA BAFFA,SEG-QUA,09-11
INF1039,PROJETOS: APLICA INTERATIVAS,ADRIANO FRANCISCO BRANCO,SEG-QUA,07-09
INF1039,PROJETOS: APLICA INTERATIVAS,LUIS FERNANDO TEIXEIRA BICALHO,SEG-QUA,13-15
INF1040,PROJ PROG MODULAR,FLAVIO HELENO BEVILACQUA E SILVA,TER-QUI,07-09
INF1040,PROJ PROG MODULAR,FLAVIO HELENO BEVILACQUA E SILVA,SEG-QUA,17-19
INF1041,ENGENHARIA DE SOFTWARE,MARCOS KALINOWSKI,SEG-QUA,11-13
INF1301,PROGRAMACAO MODULAR,FLAVIO HELENO BEVILACQUA E SILVA,TER-QUI,07-09
INF1301,PROGRAMACAO MODULAR,FLAVIO HELENO BEVILACQUA E SILVA,SEG-QUA,17-19
INF1304,DISTRIBUICAO E CONCORRENCIA,ALEXANDRE MALHEIROS MESLIN,TER-QUI,09-11
INF1316,SISTEMAS OPERACIONAIS,LUIZ FERNANDO BESSA SEIBEL,TER-QUI,09-11
INF1316,SISTEMAS OPERACIONAIS,MARKUS ENDLER,TER-QUI,11-13
INF1350,PROG DE SISTEMAS REATIVOS,ADRIANO FRANCISCO BRANCO,TER-QUI,13-15
INF1377,ENGENHARIA DE REQUISITOS,EDMUNDO BASTOS TORREAO,TER-QUI,17-19
INF1383,BANCOS DE DADOS,VERONICA DOS SANTOS,TER-QUI,15-17
INF1383,BANCOS DE DADOS,SERGIO LIFSCHITZ,TER-QUI,07-09
INF1383,BANCOS DE DADOS,MARCOS VIANNA VILLAS,TER-QUI,07-09
INF1403,INTR INT HUMANO-COMPUTADOR,SIMONE DINIZ JUNQUEIRA BARBOSA,SEX,13-15
INF1403,INTR INT HUMANO-COMPUTADOR,CLARISSA MARIA DE ALMEIDA BARBOSA,TER-QUI,13-15
INF1408,ANALISE DE PROCESSOS,EDMUNDO BASTOS TORREAO,SEG-QUA,17-19
INF1410,GERENC PROJ EM INFORMATICA,MARCANTONIO GIUSEPPE MARIA CARLO FABRA,SEG-QUA,15-17
INF1608,ANALISE NUMERICA I,LEONARDO QUATRIN CAMPAGNOLO,TER-QUI,11-13
INF1629,PRINCIPIOS ENG DE SOFTWARE,MARCOS KALINOWSKI,SEG-QUA,11-13
INF1631,ESTRUTURAS DISCRETAS,EDUARDO SANY LABER,TER-QUI,13-15
INF1636,PROGRAMACAO ORIENTADA OBJETOS,IVAN MATHIAS FILHO,SEG-QUA,13-15
INF1636,PROGRAMACAO ORIENTADA OBJETOS,IVAN MATHIAS FILHO,SEG-QUA,07-09
INF1640,REDES DE COMUNICACAO DE DADOS,SERGIO COLCHER,TER-QUI,11-13
INF1721,ANALISE DE ALGORITMOS,MARCO SERPA MOLINARO,SEG-QUA,09-11
INF1721,ANALISE DE ALGORITMOS,JOSE ALBERTO RODRIGUES PEREIRA SARDINHA,SEG-QUA,13-15
INF1761,COMPUTACAO GRAFICA,WALDEMAR CELES FILHO,TER-QUI,09-11
INF1771,INTELIGENCIA ARTIFICIAL,AUGUSTO CESAR ESPINDOLA BAFFA,SEG-QUA,13-15
INF2218,COMPUTABILIDADE,EDWARD HERMANN HAEUSLER,QUI,13-16
